XIN,   MODIFIED LEADING EDGE THICKNESS     0.00025     0.19214
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00056     0.28594
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00100     0.37704
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00156     0.46457
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00224     0.54766
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00305     0.62551
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00398     0.69735
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00504     0.76246
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00622     0.82022
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00752     0.87008
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00895     0.91166
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01049     0.94477
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01216     0.96944
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01395     0.98609
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01587     0.99557
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01790     0.99942
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99105     0.99442
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99248     0.96876
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99378     0.92571
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99496     0.86823
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99602     0.79867
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99695     0.71900
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99776     0.63090
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99844     0.53585
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99900     0.43519
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99944     0.33013
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99975     0.22186
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99994     0.11144
 XIN,   MODIFIED TRAILING EDGE THICKNESS     1.00000     0.00000

  POINTS NEARLY PERPENDICULAR TO THE CENTRE LINE BEFORE THINNING 
        N        XUPP      YUPP        XLOW        YLOW 
         1     0.00884     0.00687    -0.00345    -0.00268
         2     0.00893     0.00681    -0.00341    -0.00278
         3     0.00917     0.00663    -0.00330    -0.00309
         4     0.00957     0.00630    -0.00313    -0.00359
         5     0.01013     0.00584    -0.00288    -0.00430
         6     0.01085     0.00525    -0.00256    -0.00521
         7     0.01172     0.00452    -0.00217    -0.00632
         8     0.01275     0.00367    -0.00171    -0.00763
         9     0.01392     0.00267    -0.00119    -0.00915
        10     0.01524     0.00154    -0.00059    -0.01086
        11     0.01670     0.00028     0.00007    -0.01278
        12     0.01831    -0.00112     0.00093    -0.01477
        13     0.02006    -0.00267     0.00197    -0.01691
        14     0.02194    -0.00434     0.00314    -0.01919
        15     0.02396    -0.00615     0.00444    -0.02160
        16     0.02611    -0.00810     0.00585    -0.02417
        17     0.02840    -0.01018     0.00738    -0.02689
        18     0.03082    -0.01240     0.00902    -0.02979
        19     0.03336    -0.01475     0.01079    -0.03282
        20     0.03604    -0.01722     0.01266    -0.03599
        21     0.03884    -0.01983     0.01465    -0.03931
        22     0.04176    -0.02257     0.01675    -0.04278
        23     0.04481    -0.02543     0.01897    -0.04639
        24     0.04798    -0.02842     0.02129    -0.05014
        25     0.05127    -0.03153     0.02373    -0.05403
        26     0.05468    -0.03476     0.02629    -0.05805
        27     0.05821    -0.03810     0.02895    -0.06221
        28     0.06185    -0.04157     0.03172    -0.06649
        29     0.06561    -0.04514     0.03461    -0.07090
        30     0.06949    -0.04883     0.03760    -0.07544
        31     0.07347    -0.05263     0.04070    -0.08010
        32     0.07756    -0.05653     0.04392    -0.08488
        33     0.08177    -0.06054     0.04724    -0.08977
        34     0.08608    -0.06465     0.05067    -0.09477
        35     0.09049    -0.06885     0.05421    -0.09989
        36     0.09501    -0.07316     0.05785    -0.10511
        37     0.09964    -0.07756     0.06161    -0.11043
        38     0.10436    -0.08205     0.06546    -0.11586
        39     0.10919    -0.08663     0.06943    -0.12138
        40     0.11411    -0.09130     0.07349    -0.12700
        41     0.11913    -0.09605     0.07767    -0.13270
        42     0.12424    -0.10088     0.08194    -0.13850
        43     0.12945    -0.10579     0.08632    -0.14438
        44     0.13475    -0.11078     0.09079    -0.15034
        45     0.14014    -0.11584     0.09537    -0.15637
        46     0.14562    -0.12097     0.10005    -0.16249
        47     0.15118    -0.12618     0.10483    -0.16867
        48     0.15683    -0.13145     0.10971    -0.17492
        49     0.16257    -0.13678     0.11468    -0.18124
        50     0.16838    -0.14217     0.11975    -0.18762
        51     0.17428    -0.14762     0.12492    -0.19405
        52     0.18025    -0.15313     0.13018    -0.20054
        53     0.18630    -0.15870     0.13553    -0.20709
        54     0.19242    -0.16431     0.14097    -0.21368
        55     0.19862    -0.16998     0.14651    -0.22032
        56     0.20489    -0.17569     0.15213    -0.22700
        57     0.21123    -0.18145     0.15785    -0.23372
        58     0.21763    -0.18725     0.16365    -0.24047
        59     0.22411    -0.19309     0.16954    -0.24726
        60     0.23064    -0.19897     0.17552    -0.25408
        61     0.23724    -0.20489     0.18157    -0.26093
        62     0.24390    -0.21084     0.18771    -0.26780
        63     0.25062    -0.21683     0.19394    -0.27470
        64     0.25740    -0.22284     0.20024    -0.28161
        65     0.26423    -0.22888     0.20662    -0.28853
        66     0.27112    -0.23495     0.21308    -0.29547
        67     0.27806    -0.24104     0.21961    -0.30242
