   0.14784  -0.01379   0.07991
   0.15349  -0.01367   0.08098
   0.15923  -0.01350   0.08206
   0.16504  -0.01328   0.08313
   0.17095  -0.01300   0.08420
   0.17693  -0.01266   0.08527
   0.18299  -0.01227   0.08633
   0.18914  -0.01181   0.08738
   0.19536  -0.01130   0.08843
   0.20166  -0.01071   0.08946
   0.20803  -0.01006   0.09049
   0.21447  -0.00934   0.09151
   0.22099  -0.00855   0.09251
   0.22757  -0.00769   0.09350
   0.23422  -0.00675   0.09448
   0.24094  -0.00574   0.09544
   0.24772  -0.00465   0.09639
   0.25457  -0.00347   0.09732
   0.26148  -0.00222   0.09823
   0.26845  -0.00088   0.09913
   0.27547   0.00054   0.10000
   0.28255   0.00204   0.10086
   0.28968   0.00364   0.10169
   0.29687   0.00532   0.10250
   0.30411   0.00709   0.10329
   0.31140   0.00895   0.10405
   0.31873   0.01091   0.10479
   0.32611   0.01295   0.10551
   0.33353   0.01510   0.10620
   0.34099   0.01733   0.10686
   0.34850   0.01966   0.10750
   0.35604   0.02209   0.10811
   0.36362   0.02462   0.10869
   0.37123   0.02724   0.10924
   0.37887   0.02996   0.10976
   0.38654   0.03278   0.11025
   0.39424   0.03570   0.11071
   0.40197   0.03872   0.11114
   0.40972   0.04183   0.11154
   0.41750   0.04505   0.11191
   0.42529   0.04836   0.11224
   0.43311   0.05178   0.11254
   0.44094   0.05529   0.11281
   0.44878   0.05890   0.11305
   0.45664   0.06261   0.11325
   0.46451   0.06641   0.11342
   0.47239   0.07031   0.11356
   0.48027   0.07431   0.11366
   0.48816   0.07841   0.11373
   0.49605   0.08260   0.11376
   0.50395   0.08688   0.11376
   0.51184   0.09125   0.11373
   0.51973   0.09572   0.11366
   0.52761   0.10027   0.11356
   0.53549   0.10492   0.11342
   0.54336   0.10965   0.11325
   0.55122   0.11446   0.11305
   0.55906   0.11937   0.11281
   0.56689   0.12435   0.11254
   0.57471   0.12941   0.11224
   0.58250   0.13456   0.11191
   0.59028   0.13978   0.11154
   0.59803   0.14507   0.11114
   0.60576   0.15044   0.11071
   0.61346   0.15587   0.11025
   0.62113   0.16138   0.10976
   0.62877   0.16695   0.10924
   0.63638   0.17258   0.10869
   0.64396   0.17828   0.10811
   0.65150   0.18403   0.10750
   0.65901   0.18984   0.10686
   0.66647   0.19570   0.10620
   0.67389   0.20161   0.10551
   0.68127   0.20757   0.10479
   0.68860   0.21357   0.10405
   0.69589   0.21961   0.10329
   0.70313   0.22569   0.10250
   0.71031   0.23181   0.10169
   0.71745   0.23796   0.10086
   0.72453   0.24413   0.10000
   0.73155   0.25033   0.09913
   0.73852   0.25656   0.09823
   0.74543   0.26280   0.09732
   0.75228   0.26905   0.09639
   0.75906   0.27532   0.09544
   0.76578   0.28160   0.09448
   0.77243   0.28788   0.09350
   0.77901   0.29416   0.09251
   0.78553   0.30043   0.09151
   0.79197   0.30671   0.09049
   0.79834   0.31297   0.08946
   0.80464   0.31922   0.08843
   0.81086   0.32545   0.08738
   0.81701   0.33166   0.08633
   0.82307   0.33784   0.08527
   0.82905   0.34400   0.08420
   0.83496   0.35013   0.08313
   0.84077   0.35621   0.08206
   0.84651   0.36226   0.08098
   0.85216   0.36827   0.07991
   0.85771   0.37423   0.07883
   0.86318   0.38014   0.07775
   0.86856   0.38600   0.07668
   0.87385   0.39179   0.07560
   0.87905   0.39753   0.07454
   0.88415   0.40320   0.07347
   0.88915   0.40880   0.07242
   0.89406   0.41433   0.07137
   0.89887   0.41978   0.07033
   0.90358   0.42516   0.06929
   0.90819   0.43045   0.06827
   0.91270   0.43566   0.06726
   0.91710   0.44077   0.06626
   0.92140   0.44580   0.06528
   0.92560   0.45072   0.06431
   0.92969   0.45555   0.06335
   0.93367   0.46028   0.06242
   0.93754   0.46490   0.06149
   0.94131   0.46941   0.06059
   0.94496   0.47381   0.05971
   0.94851   0.47809   0.05884
   0.95194   0.48226   0.05800
   0.95526   0.48631   0.05717
   0.95847   0.49024   0.05637
   0.96156   0.49404   0.05560
   0.96454   0.49771   0.05485
   0.96740   0.50125   0.05412
   0.97015   0.50466   0.05341
   0.97277   0.50793   0.05274
   0.97528   0.51107   0.05209
   0.97768   0.51407   0.05147
   0.97995   0.51692   0.05087
   0.98210   0.51964   0.05031
   0.98413   0.52221   0.04977
   0.98605   0.52463   0.04926
   0.98784   0.52690   0.04879
   0.98951   0.52902   0.04834
   0.99105   0.53099   0.04793
   0.99248   0.53281   0.04754
   0.99378   0.53448   0.04719
   0.99496   0.53599   0.04687
   0.99602   0.53734   0.04659
   0.99695   0.53854   0.04634
   0.99776   0.53958   0.04612
   0.99844   0.54046   0.04593
   0.99900   0.54118   0.04578
   0.99944   0.54174   0.04566
   0.99975   0.54214   0.04557
   0.99994   0.54238   0.04552
   1.00000   0.54246   0.04551

  BLADE SURFACE COORDINATES GENERATED USING INTYPE = 1

  XUP          YUP       XLOW      YLOW 
   0.00001   0.02275  -0.00001  -0.02275
   0.00007   0.02275   0.00005  -0.02277
   0.00026   0.02274   0.00024  -0.02284
   0.00057   0.02272   0.00055  -0.02294
   0.00101   0.02269   0.00099  -0.02309
   0.00157   0.02265   0.00155  -0.02328
   0.00225   0.02261   0.00223  -0.02351
   0.00306   0.02255   0.00304  -0.02378
   0.00399   0.02250   0.00397  -0.02409
   0.00505   0.02243   0.00503  -0.02444
   0.00623   0.02236   0.00621  -0.02483
   0.00753   0.02228   0.00751  -0.02526
   0.00896   0.02220   0.00894  -0.02572
   0.01050   0.02212   0.01048  -0.02622
   0.01217   0.02203   0.01215  -0.02676
   0.01396   0.02194   0.01394  -0.02733
   0.01588   0.02184   0.01586  -0.02793
   0.01791   0.02175   0.01789  -0.02856
   0.02006   0.02165   0.02004  -0.02922
   0.02233   0.02156   0.02231  -0.02991
   0.02473   0.02147   0.02471  -0.03062
   0.02724   0.02138   0.02722  -0.03136
   0.02986   0.02129   0.02984  -0.03212
   0.03261   0.02122   0.03259  -0.03290
   0.03547   0.02114   0.03545  -0.03370
   0.03845   0.02108   0.03843  -0.03452
   0.04154   0.02102   0.04152  -0.03535
   0.04475   0.02097   0.04473  -0.03620
   0.04807   0.02094   0.04805  -0.03706
   0.05150   0.02092   0.05148  -0.03792
   0.05505   0.02091   0.05503  -0.03880
   0.05870   0.02092   0.05868  -0.03967
   0.06247   0.02094   0.06245  -0.04055
   0.06634   0.02099   0.06632  -0.04143
   0.07032   0.02105   0.07030  -0.04230
   0.07441   0.02114   0.07439  -0.04317
   0.07861   0.02125   0.07859  -0.04403
   0.08291   0.02138   0.08289  -0.04488
   0.08731   0.02155   0.08729  -0.04572
   0.09182   0.02174   0.09180  -0.04654
   0.09643   0.02196   0.09641  -0.04734
   0.10114   0.02221   0.10112  -0.04812
   0.10595   0.02249   0.10593  -0.04888
   0.11086   0.02281   0.11084  -0.04961
   0.11586   0.02317   0.11584  -0.05031
   0.12096   0.02356   0.12094  -0.05098
   0.12616   0.02399   0.12614  -0.05161
   0.13145   0.02447   0.13143  -0.05221
   0.13683   0.02499   0.13681  -0.05276
   0.14230   0.02555   0.14228  -0.05327
   0.14785   0.02616   0.14783  -0.05374
   0.15350   0.02682   0.15348  -0.05416
   0.15924   0.02753   0.15922  -0.05453
   0.16505   0.02829   0.16503  -0.05484
   0.17096   0.02910   0.17094  -0.05510
   0.17694   0.02997   0.17692  -0.05530
   0.18300   0.03089   0.18298  -0.05543
   0.18915   0.03188   0.18913  -0.05550
   0.19537   0.03292   0.19535  -0.05551
   0.20167   0.03402   0.20165  -0.05544
   0.20804   0.03518   0.20802  -0.05531
   0.21448   0.03641   0.21446  -0.05510
   0.22100   0.03770   0.22098  -0.05481
   0.22758   0.03906   0.22756  -0.05444
   0.23423   0.04049   0.23421  -0.05399
   0.24095   0.04198   0.24093  -0.05346
   0.24773   0.04355   0.24771  -0.05284
   0.25458   0.04519   0.25456  -0.05213
   0.26149   0.04689   0.26147  -0.05134
   0.26846   0.04868   0.26844  -0.05045
   0.27548   0.05054   0.27546  -0.04946
   0.28256   0.05247   0.28254  -0.04839
   0.28969   0.05448   0.28967  -0.04721
   0.29688   0.05657   0.29686  -0.04593
   0.30412   0.05873   0.30410  -0.04456
   0.31141   0.06098   0.31139  -0.04308
   0.31874   0.06330   0.31872  -0.04149
   0.32612   0.06571   0.32610  -0.03980
   0.33354   0.06819   0.33352  -0.03800
   0.34100   0.07076   0.34098  -0.03610
   0.34851   0.07341   0.34849  -0.03409
   0.35605   0.07615   0.35603  -0.03196
   0.36363   0.07896   0.36361  -0.02973
   0.37124   0.08186   0.37122  -0.02738
   0.37888   0.08484   0.37886  -0.02492
   0.38655   0.08791   0.38653  -0.02234
   0.39425   0.09106   0.39423  -0.01966
   0.40198   0.09429   0.40196  -0.01685
   0.40973   0.09760   0.40971  -0.01394
   0.41751   0.10100   0.41749  -0.01091
   0.42530   0.10448   0.42528  -0.00776
   0.43312   0.10805   0.43310  -0.00450
   0.44095   0.11169   0.44093  -0.00112
   0.44879   0.11542   0.44877   0.00237
   0.45665   0.11923   0.45663   0.00598
   0.46452   0.12312   0.46450   0.00970
   0.47240   0.12709   0.47238   0.01354
   0.48028   0.13114   0.48026   0.01748
   0.48817   0.13527   0.48815   0.02154
   0.49606   0.13948   0.49604   0.02571
   0.50396   0.14376   0.50394   0.03000
   0.51185   0.14811   0.51183   0.03439
   0.51974   0.15255   0.51972   0.03889
